,abstracts_headlines,section_name,cohen_kappa_label,cohen_kappa_label_label2,cohen_kappa_range_none_to_slight,cohen_kappa_range_fair,cohen_kappa_range_moderate,cohen_kappa_range_substantial,cohen_kappa_range_almost_perfect,cohen_kappa_range_nan,cohen_kappa_label_v2
0,new start treaty nearly wrapped president obama begin discussing far reaching deals russia next treaties,1,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
1,response plea israel release jonathan pollard plea pollard release,1,0.0,0.0,0,0,0,0,0,1,0.0
2,letters editor regarding tensions new york medical schools caribbean doctors learn best,1,0.2,0.2,1,0,0,0,0,0,0.2
3,canada beat united states semifinals world junior tournament advancing final th consecutive year canada beats united states world junior semifinal,0,0.5,0.5,0,0,1,0,0,0,0.5
4,kristine lilly holds world record international appearances u announced retirement wednesday lilly iron lady u soccer retires,0,0.2,0.2,1,0,0,0,0,0,0.2
5,obama administration envoys met chinese counterparts amid seoul rejection north korean offer peace talks u shifts toward talks n korea,0,0.2,0.2,1,0,0,0,0,0,0.2
6,formal request raise debt ceiling puts motion game fiscal brinkmanship could play months geithner urges congress increase debt limit,0,0.4,0.4,0,1,0,0,0,0,0.4
7,russian news dominated russians criticizing americans criticizing russians russians react badly u criticism protests,0,0.5,0.5,0,0,1,0,0,0,0.5
8,full program called imagine ireland feature events states supported million investment irish government first details new irish arts festival u unveiled,0,0.2,0.2,1,0,0,0,0,0,0.2
9,appointments william daley gene b sperling add ranks clinton veterans obama administration obama white house back future,0,0.2,0.2,1,0,0,0,0,0,0.2
10,british mall owner capital shopping declared worth much pence share pence american developer simon property offered british shopping mall deal looks dimmer,0,0.2,0.2,1,0,0,0,0,0,0.2
11,volkswagen mounting first serious effort decades compete japanese korean manufacturers nearly drove u market vw focuses u market bid world automaker,0,0.2,0.2,1,0,0,0,0,0,0.2
12,new report census bureau reveals data many vital things including water jazz bowling u portrait numbers,0,0.2,0.2,1,0,0,0,0,0,0.2
13,increasingly face religion america fluid fluctuant questioning nonconformist many cases unaffiliated religion representation,1,0.19,0.2,1,0,0,0,0,0,0.19
14,subpoena first public evidence surface criminal investigation disclosures classified information wikileaks founder u subpoenas twitter wikileaks supporters,0,0.4,0.4,0,1,0,0,0,0,0.4
15,people voted eight sites across united states referendum whether southern sudan separate north become independent country sudanese expatriates across u cast votes,0,0.2,0.2,1,0,0,0,0,0,0.2
16,defense spending bill tailored benefit many nations china expense could mar president hu jintao visit united states next week pentagon must buy american barring chinese solar panels,0,0.2,0.2,1,0,0,0,0,0,0.2
17,last october red bull arena teal bunbury found standing next boyhood idol tunnel leading field kansas city wizards prepared play red bulls bunbury dreams red white blue,0,0.2,0.2,1,0,0,0,0,0,0.2
18,fault lacey act restrictive others argue failed prevent destructive species entering country snake wars cudgel century old law,0,0.4,0.4,0,1,0,0,0,0,0.4
