,Unnamed: 0,text,section_name
8990,8990,international herald tribune archives french ambassador asks united states relief assistance babies prisoners vichy france seeks aid babies prisoners,0
3433,3433,india united states need build upon success civil nuclear deal work toward next defining moment india u relations search transformative moment,0
1087,1087,democrats leading charge extend tax break many republicans demanding cut paid extended congress role reversal federal payroll tax cut,0
6485,6485,united nations panel monitors compliance antitorture treaty expressed skepticism thursday american law enforcement national security practices u n commission presses u torture,0
10062,10062,kevin baker looks country tradition innovation america ingenious celebration american innovation erie canal jazz mri,0
3287,3287,despite history strained relations united states russia working effectively investigate marathon bombings american officials said u hopes russian aid inquiry boston bombings signals future collaboration,0
6925,6925,old running buddy kevin get good job dead age empathy,1
3706,3706,defying party line representative charlie dent republican pennsylvania urging speaker john boehner allow vote budget bill without conditions g p moderate middle jam,0
1957,1957,zionist enterprise largely succeeded many american jews feel time redefine means support israel jews like us,1
3143,3143,united states capped six run victory puerto rico tuesday world baseball classic set meeting dominican republic dominican republic wins remains wary u,0
2862,2862,five years ago fourth quarter united states economy peaked became known great recession set countries china australia among never saw economies decline largest economies remain smaller world economy measured total gross domestic product countries data available percent larger share prices yet fully recover countries five years later countries still lag,0
7149,7149,award part effort go beyond remembering million people died emphasizing survivors led successful lives armenian leaders establish rights award commemorate centenary genocide,0
4252,4252,happens credit card information among millions stolen major retailer nothing good identity theft hits home,0
6699,6699,readers respond editorial relief air travelers tangle air travel today,1
10075,10075,president elect donald j trump pressured republican activists phone determined remove ohio party official publicly opposed campaign target small trump intervenes oust ohio g p chair,0
7757,7757,spending four decades solitary albert woodfox could go free unless state louisiana gets way last angola gets released almost updated,1
5034,5034,number bills proposed house representatives previous congresses experts various theories nothing congress well pretty close,0
2848,2848,china published series scathing articles editorials state run news media attacking two amendments new u military spending bill one amendment reaffirms mutual security treaty japan recognizes tokyo control disputed senkaku islands provision supports sale dozens new f fighter jets taiwan china assails u alliance japan possible f sales taiwan,0
8929,8929,chicago police shot killed people recent years largest cities america yet officers rarely disciplined retired officer investigated excessive force complaints explains breaking code silence,0
4609,4609,readers including seymour reich formerly conference presidents major american jewish organizations respond front page article free spy help save mideast talks,1
9164,9164,documents show mr grayson work hedge fund manager times interfered duties u lawmaker alan grayson double life congressman hedge fund manager,0
4833,4833,shortly president obama concluded four nation asia trip chinese newspaper reported russia china would hold joint naval exercises near disputed islands east china sea challenge united states obama visit planned naval drills russia reported,0
6407,6407,tax restructuring international trade budget policy may offer common ground democrats republicans president obama final two years office chance tax overhaul seen shift power,0
4985,4985,yet many groups driving diversification seizing electoral power comes still nation immigrants,1
3111,3111,countries main allies pushing greater protection bears global treaty endangered species reviewed conference bangkok u russia team bid aid polar bears,0
7262,7262,president obama meet pope francis white house pontiff visits united states fall white house said thursday morning obama pope francis meet white house,0
3465,3465,thorsten heins speaking company annual meeting conceded debut new blackberry phones united states flawed ian austen reports new york times daily report blackberry chief says turnaround take time,0
33,33,palin stirs passions among many people could problematic someone national ambitions chicken egg media sarah palin,0
2254,2254,jos mourinho real madrid said would interested coaching united states future although national coach real madrid mourinho sees future coaching u,0
3405,3405,hypothetical statistical portrait high school class shows depressing numbers children future,1
9556,9556,archives international herald tribune june civil rights marchers arrested mississippi mississippi marchers arrested,0
5156,5156,representative ra l r labrador positioned conservative alternative representative kevin mccarthy majority leader idaho republican appealing right enters race replace cantor,0
6877,6877,authorities morocco denied allegations used war terrorism harsh c tactics cover torture spoke morocco crushed dissent using u interrogation site rights advocates say,0
9880,9880,federal judge refused dismiss indictment reza zarrab gold trader jailed new york prosecutors say facilitated millions transactions behalf iran u pursue turk accused conspiring violate iran sanctions,0
3960,3960,presidential advisory committee recommendation broad new restraints intended increase privacy protections first sign spying revelations may lead changes obama panel said urge n curbs,0
733,733,several major travel companies withdrawn advertisements charity give back group web site campaign allout org group promoting gay rights said group beneficiaries known hate groups travel groups withdraw charity give back group,0
5912,5912,american security officials outlined threats united states terrorist group islamic state also known isis congressional hearing wednesday u security officials isis threat,0
568,568,like hamburger flipping endlessly grill turn calendar page late brought punishing heat midwest south even ocean cooled coasts unrelenting heat alters routines across u,0
4075,4075,one thing kids experiment marijuana something else legal adults use anywhere everywhere weed done,1
5991,5991,automaker says problem electronic module could prevent air bags deploying crash ford recalls vehicles fault could disable air bags,0
3617,3617,limited supply games sony local audience get next version gaming console three months u europe sony next playstation late japan,0
9113,9113,new attack capital came american officials gave grim new estimate afghan casualties last year fighting taliban bombing kills least kabul police station,0
5199,5199,states change laws classify bringing gun security checkpoints felony guns airport,1
39,39,government granted least illegal immigrants haiti right stay united states homeland continues earthquake recovery effort u sees success immigration program haitians,0
8925,8925,children grow learning skills succeed socioeconomic stratum necessarily others deepen class divisions class differences child rearing rise,0
9413,9413,apparently even n b locker room halftime sanctuary practice habitually checking texts social media mentions trending halftime n b players checking phones,0
9329,9329,republican lawmakers trying distance mr trump democrats seize chance run candidate offended huge sections electorate donald trump success upends battle control congress,0
6729,6729,cubans absorb news united states begin normalizing relations government five decades hostility contending rush excitement uncertainty david u goliath cuba asks role,0
2304,2304,bahrain sentenced leading rights activist three years prison thursday inciting anti government protests speeches twitter updates bahrain sentences activist years prison inciting protests,0
1472,1472,one paulson company main funds lost percent february things go horrible month given history particular fund lost percent could scary reminder distant dark days paulson post traumatic february,0
1355,1355,catholic hospitals claiming special right conscience trumps law whose conscience,1
2245,2245,representative michael g grimm initially report expenses paid trip cyprus congressional financial disclosure filing though list trip israel congressman report trip issue,0
5183,5183,obama thinking isis confused lead problems fight iraq ignore syria,1
5364,5364,readers discuss two recent supreme court actions religious exemptions contraception coverage,1
1441,1441,day united states south korea begin joint military drills north korean leader kim jong un promised powerful retaliatory strike provoked north korean leader threatens retaliatory strike south,0
8430,8430,majority americans smaller majority republicans say support government shutdown planned parenthood funding facts figures even republicans want shut government,1
5872,5872,president cited earlier authorization congress basis campaign isis obama sees iraq resolution legal basis airstrikes official says,0
5235,5235,election tea party loyalists could expand ranks republican senators willing defy party leadership mavericks could fracture g p senate majority,0
6753,6753,chewing gum chocolate shomei tomatsu explored attractions contradictions american culture military postwar japan american culture riding mushroom cloud,0
4002,4002,official documents interrogation abuses done aftermath attacks sept public release torture reports,1
2963,2963,latest west africa voices malian immigrants new york calculations american policy makers weighing intervention unrest mali sahara,0
3724,3724,chinese prime minister persuaded vietnam ignore u advice set working group maritime issues meanwhile john kerry criticized canceling visit philippines touring southeast asia chinese leader outshines kerry,0
8333,8333,remarks president obama seemed represent ratcheting quiet effort warn chinese united states tolerate recent breaches obama hints sanctions china cyberattacks,0
251,251,goals methods health care program based last year derided critics obamacare widely misunderstand economist writes economics privately sponsored social insurance,0
9103,9103,according advisers florida senator panicked republicans would flock mr rubio victory senator ted cruz would worst case marco rubio camp sees opening donald trump wins iowa,0
6226,6226,ebola ranks sixth among americans top concerns tied education islamic state according new gallup poll poll shows limits ebola campaign issue,0
3522,3522,federal reserve spent heavily buy bonds reduce long term rates rates actually higher started nation got billion,0
96,96,growing threat radicalized american citizens extremists living country officials say lawmakers hear threat domestic terrorists,0
8528,8528,weekend mercy independence hospital kansas join dozens rural hospitals closed last five years declining reimbursements regulatory burdens shrinking populations closing hospital fearing future,0
9834,9834,revelations mr trump may violated ban american companies operating cuba come presidential race heating state report donald trump business cuba ups ante florida,0
4693,4693,many states continue punish juveniles harshly despite evidence actually increases recidivism echoes superpredator,1
4819,4819,u financed network connect afghans across forbidding physical cultural divides still survives three years american funding ended social media afghanistan takes life,0
2152,2152,jordyn wieber executed nearly flawless double twisting double back flip first pass floor routine wieber tight tumbling u gymnastics win,0
3027,3027,president obama vowed thursday confront republicans issue closing tax loopholes saying would relish debate insist congress done get tax revenue wealthy individuals corporations obama tells house democrats confront republicans taxes,0
3128,3128,senator carl levin michigan one growing list senior democrats seek election leaving republicans opportunities attempt take back senate democrat says run election senate,0
7364,7364,americans saving enough retirement social security currently big enough fill gap make bigger government excels,1
107,107,gunmen northern mexico killed agent united states immigration customs enforcement wounded another signaling escalating risk american officials fighting mexican crime gangs american immigration agent killed gunmen mexico,0
7381,7381,close percent americans health insurance according new survey facts figures uninsured rate lowest since,1
2075,2075,dream team made run barcelona united states back mike krzyzewski coach time train london krzyzewski scene victory harks back,0
3458,3458,epic tale favor currying arm twisting reputation wrecking ego massaging confidence betraying rumor mongering win washington,0
303,303,spring budget fight anything breath fresh air uncivil war,1
9242,9242,blunder government management special visa program afghan interpreters remedied week state department fixes unfair visa change,1
5982,5982,appearances across new york president hassan rouhani iran seems intent conveying different predecessor ahead united nations general assembly meeting iranian president praises cooperation new york,0
1488,1488,readers respond op ed article civil right unionize place unions today,1
6481,6481,turing prize computer science quadrupled million jump funded google google quadruple computer science prize winnings million,0
3928,3928,kirsten e gillibrand new york defied colleagues stood ground issues earning prominence chamber served less five years new york junior senator doggedly refusing play part,0
169,169,japan struggles contain quickly escalating nuclear crisis safety america nuclear plants coming new scrutiny u nuclear plants risks backups japan counterparts,0
3776,3776,previously reluctant democrats places like arkansas florida nebraska new jersey suddenly deciding challenge republicans house seats voters anger shutdown inspiring democrats run,0
1516,1516,apple market capitalization larger american retail combined google ad sales bigger united states newspapers put together apgoog took world apple google redwoods web garden,0
5466,5466,really way knowing whether big fail still us another crisis dodd frank work,1
576,576,british newspaper claim journalists working news corporation tried obtain phone records victims sept terrorist attacks may prompt f b inquiry news corp newspapers may face u inquiry,0
2833,2833,doubt also growing even widespread concerted action make difference comes climate change survey shows fewer americans say actions slow climate change,0
1683,1683,brazil deciding whether buy fighter jets worth billion competition boeing united states dassault aviation france saab sweden panetta urges brazil buy fighter jets boeing,0
4584,4584,catharine b hill president vassar college responds op ed article families college costs,1
5358,5358,recent research twins suggests cultural traditionalism deep roots much genes influence political beliefs,1
5294,5294,notion rogue employee convenient one allowing senior management admit corporate misconduct avoiding personal responsibility violations peter j henning writes white collar watch column penalties companies executives often emerge unscathed,0
6832,6832,half american internet users log onto least two social networks regularly according new research survey facebook remains dominant network networks like instagram pinterest growing popularity americans use online social networks,0
6383,6383,latinos voted two one democratic candidates midterm elections republican gains key races showed possible tactic cutting lead g p inroads latinos hint path,0
4248,4248,democrats trying capitalize problems encircling gov chris christie new jersey hopes thwarting top republican prospect reclaiming white house democrats grab chance halt christie rise,0
2108,2108,dana vollmer american record holder meter butterfly plans move water london effort one water,0
9898,9898,philippine president remarks group business leaders clearest signal yet wants renegotiate military deal united states rodrigo duterte japan calls u troops exit philippines years,0
1618,1618,agreement giving afghan forces control controversial night raids could serve reduce stress levels afghan american troops strategic corporal field remains wary still red alert green blue attacks,0
7744,7744,residents near current mayfair site worried potential terrorist attack relieved new design grittier location departure tradition critics move across london u embassy please everyone,0
7290,7290,attempt pin might come current religious liberty debate questions indiana critics,1
